Projeto;Dono;Criado;Update;Push;Size;Estrelas;Watchers;Linguagem;Forks;Problemas;Subscribers
Tasmota;arendst;2017-01-28;2025-06-12;2025-06-12;254251;23328;23328;C;4925;5;619
localstack;localstack;2016-10-25;2025-06-12;2025-06-12;52189;59273;59273;Python;4164;317;517
youtube-music;th-ch;2019-04-19;2025-06-12;2025-06-12;17144;22368;22368;TypeScript;1170;405;130
n8n;n8n-io;2019-06-22;2025-06-12;2025-06-12;219128;106763;106763;TypeScript;30269;942;666
discord.js;discordjs;2015-08-10;2025-06-12;2025-06-12;54227;26027;26027;TypeScript;3994;101;426
python-telegram-bot;python-telegram-bot;2015-07-07;2025-06-12;2025-06-11;16805;27677;27677;Python;5706;21;603
ccxt;ccxt;2017-05-14;2025-06-12;2025-06-12;4917604;36877;36877;Python;7981;1508;938
starship;starship;2019-04-02;2025-06-12;2025-06-12;43436;49279;49279;Rust;2134;885;193
nvm;nvm-sh;2010-04-15;2025-06-12;2025-04-23;3869;85064;85064;Shell;8911;350;1027
qBittorrent;qbittorrent;2012-02-04;2025-06-12;2025-06-09;270379;31555;31555;C++;4238;2359;426
TypeScript;microsoft;2014-06-17;2025-06-12;2025-06-12;2902884;104929;104929;TypeScript;12874;6069;2161
flutter;flutter;2015-03-06;2025-06-12;2025-06-12;386643;170928;170928;Dart;28708;12914;3501
serverless;serverless;2015-04-21;2025-06-12;2025-06-05;100183;46710;46710;JavaScript;5739;1242;929
flink;apache;2014-06-07;2025-06-12;2025-06-12;525150;24942;24942;Java;13578;191;932
babel;babel;2014-09-28;2025-06-12;2025-06-11;132494;43614;43614;TypeScript;5718;767;805
electron;electron;2013-04-12;2025-06-12;2025-06-12;177018;117104;117104;C++;16126;870;2813
neovim;neovim;2014-01-31;2025-06-12;2025-06-12;327973;90268;90268;Vim Script;6123;1970;981
bootstrap;twbs;2011-07-29;2025-06-12;2025-06-12;258051;172402;172402;MDX;79138;540;6705
supabase;supabase;2019-10-12;2025-06-12;2025-06-12;1712073;84394;84394;TypeScript;8910;664;567
docusaurus;facebook;2017-06-20;2025-06-12;2025-06-06;801118;60300;60300;TypeScript;9154;368;419
matplotlib;matplotlib;2011-02-19;2025-06-12;2025-06-12;463435;21329;21329;Python;7893;1655;589
react-native;facebook;2015-01-09;2025-06-12;2025-06-12;924353;122612;122612;C++;24707;995;3580
vscode;microsoft;2015-09-03;2025-06-12;2025-06-12;1027526;173449;173449;TypeScript;33026;10504;3353
tensorflow;tensorflow;2015-11-07;2025-06-12;2025-06-12;1168451;190338;190338;C++;74695;1366;7490
kubernetes;kubernetes;2014-06-06;2025-06-12;2025-06-12;1373249;115705;115705;Go;40713;2551;3211
django;django;2012-04-28;2025-06-12;2025-06-12;268256;83888;83888;Python;32642;340;2283
scikit-learn;scikit-learn;2010-08-17;2025-06-12;2025-06-12;173246;62326;62326;Python;25922;2179;2135
angular;angular;2014-09-18;2025-06-12;2025-06-12;550892;98125;98125;TypeScript;26325;1550;3006
transformers;huggingface;2018-10-29;2025-06-12;2025-06-12;324012;145524;145524;Python;29326;1834;1151
ansible;ansible;2012-03-06;2025-06-12;2025-06-12;259615;65332;65332;Python;24026;818;1895
pandas;pandas-dev;2010-08-24;2025-06-12;2025-06-12;369154;45690;45690;Python;18592;3733;1109
