login;projeto;location;public_repos;followers;following;created_at;updated_at
arendst;Tasmota;Netherlands;30;1627;2;2015-02-17;2025-06-17
localstack;localstack;<null>;93;1640;0;2017-05-16;2025-06-17
th-ch;youtube-music;<null>;11;538;146;2014-06-30;2025-06-07
n8n-io;n8n;Germany;39;6083;0;2018-11-30;2025-06-17
discordjs;discord.js;<null>;32;1274;0;2017-03-17;2025-06-03
python-telegram-bot;python-telegram-bot;<null>;10;895;0;2015-12-06;2025-06-03
ccxt;ccxt;<null>;28;740;0;2017-09-12;2024-08-14
starship;starship;<null>;7;414;0;2019-04-15;2025-05-28
nvm-sh;nvm;<null>;4;811;0;2019-04-24;2025-06-15
qbittorrent;qBittorrent;<null>;6;1137;0;2012-08-10;2025-06-11
microsoft;TypeScript;Redmond, WA;6917;94880;0;2013-12-10;2025-06-06
flutter;flutter;<null>;36;19619;0;2015-09-03;2024-07-18
serverless;serverless;United States of America;71;796;0;2015-08-11;2025-06-12
apache;flink;<null>;2789;18428;0;2009-01-17;2025-06-12
babel;babel;<null>;63;924;0;2014-11-09;2025-06-05
electron;electron;United States of America;104;3402;0;2015-07-19;2025-06-14
neovim;neovim;<null>;30;3927;0;2014-01-22;2025-06-07
twbs;bootstrap;San Francisco;26;12927;0;2012-11-29;2022-11-27
supabase;supabase;United States of America;116;6362;0;2019-08-24;2025-06-12
facebook;docusaurus;Menlo Park, California;149;30497;0;2009-04-02;2024-12-27
matplotlib;matplotlib;<null>;53;1271;0;2010-03-04;2025-06-16
facebook;react-native;Menlo Park, California;149;30497;0;2009-04-02;2024-12-27
microsoft;vscode;Redmond, WA;6917;94880;0;2013-12-10;2025-06-06
tensorflow;tensorflow;<null>;107;18721;0;2015-11-04;2024-07-18
kubernetes;kubernetes;<null>;79;11394;0;2015-08-03;2024-08-28
django;django;<null>;26;8570;0;2008-10-06;2025-05-18
scikit-learn;scikit-learn;<null>;16;4726;0;2010-08-16;2025-01-27
angular;angular;United States of America;205;7756;0;2009-10-13;2024-11-12
huggingface;transformers;NYC + Paris;321;50308;0;2017-02-12;2025-04-20
ansible;ansible;United States of America;284;3031;0;2012-03-06;2025-05-08
pandas-dev;pandas;<null>;15;4736;0;2016-08-23;2025-06-12
